max_depth,min_child_weight,decay_rate,val_logloss,best_iter
5,5,1.0,0.6285175489896017,94
3,5,0.9,0.6288444278820319,167
5,5,0.9,0.6288484211840398,84
4,5,0.9,0.6292418913358466,112
3,3,0.9,0.6294800567023141,112
4,5,0.7,0.6296007850501094,91
4,1,0.9,0.6296023925212408,92
3,3,1.0,0.6296586216865016,137
3,1,1.0,0.6297047799059858,137
3,5,1.0,0.6298219340101139,163
4,5,1.0,0.6299250792839162,110
3,1,0.9,0.629925786414638,111
5,1,0.9,0.6299529252381392,112
4,1,1.0,0.6300596320517997,122
3,3,0.7,0.630065937324863,91
5,3,1.0,0.6301137139286046,81
3,5,0.7,0.6301267280311116,124
4,3,1.0,0.6303681437418146,86
5,3,0.7,0.6305138806394918,69
4,3,0.9,0.6306296156222286,110
5,1,0.7,0.6306494415268262,64
5,1,1.0,0.6306986497097581,62
5,3,0.9,0.630768050229627,116
4,3,0.7,0.6307935978470894,91
3,1,0.7,0.6308891744171299,122
3,1,0.5,0.630915389793715,83
5,5,0.7,0.6309420762002896,72
3,5,0.5,0.6309731688487669,102
4,3,0.5,0.6312272326128769,82
4,1,0.7,0.6314333356324473,115
3,3,0.5,0.6315678108051781,112
5,5,0.5,0.6322208819316779,60
4,1,0.5,0.6322750215856267,60
4,5,0.5,0.6324321818968945,105
5,3,0.5,0.6335709048175694,60
5,1,0.5,0.6347373676689648,53
